x1_h1,x2_h1,x3_h1,x4_h1,x5_h1,x6_h1,x7_h1,x8_h1,x9_h1,x10_h1,x11_h1,x12_h1,x13_h1,x14_h1,x15_h1,x16_h1,x17_h1,x18_h1,x19_h1,x20_h1,x21_h1,y1_h1,y2_h1,y3_h1,y4_h1,y5_h1,y6_h1,y7_h1,y8_h1,y9_h1,y10_h1,y11_h1,y12_h1,y13_h1,y14_h1,y15_h1,y16_h1,y17_h1,y18_h1,y19_h1,y20_h1,y21_h1,z1_h1,z2_h1,z3_h1,z4_h1,z5_h1,z6_h1,z7_h1,z8_h1,z9_h1,z10_h1,z11_h1,z12_h1,z13_h1,z14_h1,z15_h1,z16_h1,z17_h1,z18_h1,z19_h1,z20_h1,z21_h1,x1_h2,x2_h2,x3_h2,x4_h2,x5_h2,x6_h2,x7_h2,x8_h2,x9_h2,x10_h2,x11_h2,x12_h2,x13_h2,x14_h2,x15_h2,x16_h2,x17_h2,x18_h2,x19_h2,x20_h2,x21_h2,y1_h2,y2_h2,y3_h2,y4_h2,y5_h2,y6_h2,y7_h2,y8_h2,y9_h2,y10_h2,y11_h2,y12_h2,y13_h2,y14_h2,y15_h2,y16_h2,y17_h2,y18_h2,y19_h2,y20_h2,y21_h2,z1_h2,z2_h2,z3_h2,z4_h2,z5_h2,z6_h2,z7_h2,z8_h2,z9_h2,z10_h2,z11_h2,z12_h2,z13_h2,z14_h2,z15_h2,z16_h2,z17_h2,z18_h2,z19_h2,z20_h2,z21_h2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7388148307800293,0.8599063754081726,2.9451962291204836e-07,0.6696863174438477,0.8300347328186035,-0.02568615786731243,0.6214370727539062,0.7534874081611633,-0.03405614569783211,0.6004362106323242,0.6789910793304443,-0.040299154818058014,0.5856669545173645,0.6181293725967407,-0.04488217458128929,0.6569381356239319,0.6482895612716675,-0.008450420573353767,0.6373385787010193,0.5666976571083069,-0.023601271212100983,0.6236010193824768,0.5172580480575562,-0.038669757544994354,0.6107484698295593,0.4723539352416992,-0.05062016844749451,0.698563277721405,0.6321126818656921,-0.010241313837468624,0.687533974647522,0.5394433736801147,-0.022763514891266823,0.6789182424545288,0.4787893295288086,-0.03799896314740181,0.6678560972213745,0.427310585975647,-0.04948432371020317,0.7384340763092041,0.638064980506897,-0.016679320484399796,0.7333108186721802,0.5530034303665161,-0.03377285599708557,0.7264061570167542,0.49918389320373535,-0.04721452668309212,0.7168355584144592,0.4511346220970154,-0.056069064885377884,0.778415322303772,0.6594920754432678,-0.025649119168519974,0.7886106371879578,0.5876878499984741,-0.04191582649946213,0.7944405674934387,0.540016233921051,-0.0495852530002594,0.7977950572967529,0.49446022510528564,-0.05438731610774994,0.1736399233341217,0.757253885269165,4.606609991242294e-07,0.2369907945394516,0.7554161548614502,-0.03233873471617699,0.28938135504722595,0.7033251523971558,-0.04246942698955536,0.31939125061035156,0.6376188397407532,-0.04898804798722267,0.3447878956794739,0.5848067402839661,-0.055218007415533066,0.27932438254356384,0.5968254804611206,-0.023946460336446762,0.3130877614021301,0.521670401096344,-0.042573098093271255,0.33256199955940247,0.4725850224494934,-0.05825667083263397,0.3479083776473999,0.42768028378486633,-0.07014372944831848,0.2453296035528183,0.5718048214912415,-0.02174549736082554,0.27497148513793945,0.48549333214759827,-0.03887953609228134,0.29602211713790894,0.42860913276672363,-0.05590788647532463,0.31356585025787354,0.3783193826675415,-0.0683472752571106,0.20752237737178802,0.5659849047660828,-0.02356891520321369,0.23121540248394012,0.48270484805107117,-0.04359642416238785,0.24963298439979553,0.43020176887512207,-0.06014169752597809,0.26647746562957764,0.3828541934490204,-0.0709264799952507,0.1648200899362564,0.5754111409187317,-0.028012096881866455,0.17186427116394043,0.5089805722236633,-0.05011039972305298,0.17938660085201263,0.46441078186035156,-0.06297827512025833,0.18793527781963348,0.4225330650806427,-0.07057849317789078
0.7413774132728577,0.8714789152145386,3.589367452150327e-07,0.6724757552146912,0.833850622177124,-0.02340126968920231,0.6234756112098694,0.7537702918052673,-0.029523354023694992,0.6001176238059998,0.6792564392089844,-0.03426666185259819,0.584733247756958,0.6191334128379822,-0.03778273984789848,0.6586707234382629,0.6471888422966003,-0.001775761367753148,0.638599157333374,0.5666101574897766,-0.015930190682411194,0.6255484819412231,0.5181089043617249,-0.0310576893389225,0.6142386198043823,0.4714692234992981,-0.043157123029232025,0.6994313597679138,0.6323240399360657,-0.004097019787877798,0.6880252361297607,0.5395086407661438,-0.014895465224981308,0.6781949400901794,0.479348748922348,-0.02934309095144272,0.667548656463623,0.4259336590766907,-0.04073450341820717,0.738361656665802,0.6389313340187073,-0.011382516473531723,0.7340328097343445,0.5522540211677551,-0.026124484837055206,0.7265103459358215,0.4972066283226013,-0.03809255361557007,0.7171441316604614,0.44678282737731934,-0.04668918997049332,0.7766528725624084,0.6610823273658752,-0.021411186084151268,0.787346363067627,0.5888568162918091,-0.03582119196653366,0.7930514216423035,0.5393190979957581,-0.042639948427677155,0.7969119548797607,0.4912499189376831,-0.04725034534931183,0.16362029314041138,0.7690567374229431,4.280258565358963e-07,0.23466213047504425,0.7602620720863342,-0.027400994673371315,0.29064419865608215,0.7077437043190002,-0.03474946692585945,0.32079678773880005,0.6415154933929443,-0.04022803530097008,0.34550991654396057,0.5899558067321777,-0.04528610408306122,0.2810993790626526,0.5947113633155823,-0.011335908435285091,0.31573763489723206,0.5212506055831909,-0.027894480153918266,0.3351120352745056,0.47284847497940063,-0.04324345290660858,0.35039272904396057,0.42954227328300476,-0.054615318775177,0.24753950536251068,0.571757972240448,-0.010873698629438877,0.27727484703063965,0.4861096441745758,-0.02549668215215206,0.29706212878227234,0.4282662868499756,-0.04123258590698242,0.3138260245323181,0.37815526127815247,-0.052730392664670944,0.20971478521823883,0.5665139555931091,-0.0148614551872015,0.2327030748128891,0.4832113981246948,-0.032520927488803864,0.25035208463668823,0.4313478469848633,-0.04688176512718201,0.26802340149879456,0.3865869641304016,-0.05616961792111397,0.16590091586112976,0.5748670697212219,-0.021490400657057762,0.17267879843711853,0.5077924728393555,-0.0405452698469162,0.1804995834827423,0.4648531377315521,-0.05074261128902435,0.1902375966310501,0.4244081377983093,-0.05654589831829071
0.7430222034454346,0.8758398294448853,3.464348026227526e-07,0.6733437776565552,0.8332618474960327,-0.02221956104040146,0.6242240071296692,0.7543476819992065,-0.02769126370549202,0.6019428372383118,0.6789202094078064,-0.032201848924160004,0.5853812098503113,0.6180396676063538,-0.03541151434183121,0.6597877144813538,0.6464697122573853,0.0025442519690841436,0.640141487121582,0.5656876564025879,-0.010761371813714504,0.6268625259399414,0.5180606245994568,-0.02603842131793499,0.6147798299789429,0.4712430238723755,-0.03836307302117348,0.7003102898597717,0.631987452507019,-0.00029675645055249333,0.6891031265258789,0.539226770401001,-0.010021687485277653,0.6791829466819763,0.479697585105896,-0.024393269792199135,0.6684395670890808,0.42555344104766846,-0.036083292216062546,0.738606870174408,0.6387476921081543,-0.008351917378604412,0.7345220446586609,0.5525914430618286,-0.02213169075548649,0.7269124388694763,0.4981827139854431,-0.03378867357969284,0.7174179553985596,0.4480011463165283,-0.04238671436905861,0.7764948010444641,0.660479724407196,-0.019262617453932762,0.7869782447814941,0.5876861214637756,-0.03259012848138809,0.7928999066352844,0.5385595560073853,-0.03890608996152878,0.7969386577606201,0.4904409945011139,-0.04339291900396347,0.16370972990989685,0.7738809585571289,3.9730437606522173e-07,0.23537661135196686,0.7605465054512024,-0.02574804797768593,0.2925620377063751,0.7090154886245728,-0.032523419708013535,0.3239282965660095,0.6436535120010376,-0.03798830881714821,0.3477281332015991,0.5916997790336609,-0.04316522926092148,0.28279125690460205,0.5939204692840576,-0.008919867686927319,0.3173801302909851,0.5204111933708191,-0.024724362418055534,0.3357006311416626,0.472197562456131,-0.039941851049661636,0.3501054644584656,0.4285464286804199,-0.05123608559370041,0.24891863763332367,0.5713121891021729,-0.00913600530475378,0.27956730127334595,0.48567602038383484,-0.02257491461932659,0.29912540316581726,0.4280688166618347,-0.03771806135773659,0.31555551290512085,0.37762248516082764,-0.049225445836782455,0.2110041379928589,0.5663643479347229,-0.013797622174024582,0.235152930021286,0.4833710193634033,-0.029685422778129578,0.2527717351913452,0.4322012662887573,-0.04316931217908859,0.26970675587654114,0.3883201479911804,-0.052443068474531174,0.16706949472427368,0.5741466283798218,-0.021161215379834175,0.1751483678817749,0.5083209276199341,-0.038493018597364426,0.18357177078723907,0.4657368063926697,-0.047863464802503586,0.19321903586387634,0.4259108603000641,-0.05347024276852608
0.7434249520301819,0.8755636811256409,3.3238310948036087e-07,0.6744248270988464,0.8323603868484497,-0.021521465852856636,0.6254258155822754,0.7541356086730957,-0.026949141174554825,0.6035466194152832,0.6787689328193665,-0.03160546347498894,0.5871974229812622,0.6179737448692322,-0.034945130348205566,0.6610113978385925,0.6461033225059509,0.002832342404872179,0.6412822008132935,0.5647491812705994,-0.01047069113701582,0.627880871295929,0.5168247818946838,-0.02557436190545559,0.615898847579956,0.46978890895843506,-0.037785597145557404,0.7013710737228394,0.6317645907402039,-0.00037005115882493556,0.6894976496696472,0.5389914512634277,-0.010141663253307343,0.6796051859855652,0.47985365986824036,-0.024250632151961327,0.6693089604377747,0.4257258474826813,-0.0357777439057827,0.7396877408027649,0.6383007168769836,-0.00873306393623352,0.7350327968597412,0.5520846247673035,-0.022542499005794525,0.7275616526603699,0.49750036001205444,-0.03397529199719429,0.7183454036712646,0.44697433710098267,-0.04246211796998978,0.7779160141944885,0.6597022414207458,-0.01991325058043003,0.7881195545196533,0.5871797800064087,-0.03322276473045349,0.7938893437385559,0.5380760431289673,-0.03943479433655739,0.797598659992218,0.48984313011169434,-0.04387245699763298,0.1641770601272583,0.774899959564209,3.792375196098874e-07,0.23631645739078522,0.7614903450012207,-0.025626713410019875,0.29453784227371216,0.710707426071167,-0.031714100390672684,0.3239057660102844,0.6432503461837769,-0.03656823933124542,0.3483416736125946,0.5915274024009705,-0.04111519828438759,0.2852969765663147,0.5936301946640015,-0.006505806930363178,0.31908491253852844,0.5207282304763794,-0.02177920751273632,0.33656662702560425,0.4727369248867035,-0.036728885024785995,0.3505937457084656,0.4292241334915161,-0.04795323312282562,0.25082334876060486,0.570831298828125,-0.006751235108822584,0.28157854080200195,0.48578721284866333,-0.01999310590326786,0.30038902163505554,0.4286838173866272,-0.03515380620956421,0.3165331482887268,0.37860405445098877,-0.046620503067970276,0.21271739900112152,0.5660504698753357,-0.011624069884419441,0.23666636645793915,0.4835405647754669,-0.027815911918878555,0.25385114550590515,0.43285197019577026,-0.041412267833948135,0.27094873785972595,0.3892451524734497,-0.050663065165281296,0.16809998452663422,0.5744186639785767,-0.019234782084822655,0.17599478363990784,0.5090569257736206,-0.03700224310159683,0.18449905514717102,0.4672379493713379,-0.04658105969429016,0.1946733593940735,0.42731696367263794,-0.052287425845861435
0.7427494525909424,0.8750728368759155,3.396262400201522e-07,0.6739044189453125,0.8314963579177856,-0.02180246263742447,0.6263467073440552,0.7537155151367188,-0.02781517431139946,0.604407012462616,0.6782904863357544,-0.03309141844511032,0.5870513916015625,0.6168479323387146,-0.037076354026794434,0.6613327860832214,0.6461432576179504,0.0025502522476017475,0.6409586668014526,0.5652801394462585,-0.011404000222682953,0.6276245713233948,0.5173217058181763,-0.026948779821395874,0.6162072420120239,0.4698038101196289,-0.039470985531806946,0.7015488743782043,0.6319355964660645,-0.0008033362100832164,0.6896262764930725,0.5389844179153442,-0.01129541452974081,0.6799829602241516,0.4798949062824249,-0.025940800085663795,0.6701672673225403,0.4252994954586029,-0.037857476621866226,0.7397424578666687,0.6388177871704102,-0.009371585212647915,0.7351173162460327,0.5526560544967651,-0.023949023336172104,0.727907657623291,0.4977792501449585,-0.035736698657274246,0.7191638350486755,0.44692787528038025,-0.04439748451113701,0.777948260307312,0.6607127785682678,-0.020750274881720543,0.7888742089271545,0.5878919959068298,-0.03453592583537102,0.7949683666229248,0.5387716889381409,-0.0409456305205822,0.7988253235816956,0.4906889796257019,-0.045531321316957474,0.16394862532615662,0.7762923836708069,3.8161059023877897e-07,0.23607520759105682,0.7620065808296204,-0.025419674813747406,0.2950105667114258,0.709437906742096,-0.03109605796635151,0.3259585499763489,0.6432898640632629,-0.035549867898225784,0.3501507341861725,0.5917825102806091,-0.039622291922569275,0.28567177057266235,0.5933611989021301,-0.0059351567178964615,0.3193007707595825,0.5197254419326782,-0.020713061094284058,0.3367217779159546,0.4717978835105896,-0.035338543355464935,0.3506484031677246,0.4285435676574707,-0.046293385326862335,0.25126272439956665,0.5708702802658081,-0.006132938899099827,0.282459020614624,0.4853864908218384,-0.018734466284513474,0.30158382654190063,0.42831140756607056,-0.03345668688416481,0.3178615868091583,0.37819454073905945,-0.0446116141974926,0.21302974224090576,0.5660414099693298,-0.010984370484948158,0.2376798689365387,0.4831395149230957,-0.026478677988052368,0.25470542907714844,0.4317725598812103,-0.03986163064837456,0.27144554257392883,0.3873196840286255,-0.04904724657535553,0.1682935506105423,0.5741242170333862,-0.018589261919260025,0.17690305411815643,0.5089715719223022,-0.035558100789785385,0.18521852791309357,0.46712642908096313,-0.04470914974808693,0.1949125975370407,0.4272093176841736,-0.050213523209095
0.7442919611930847,0.8764090538024902,3.4094082934643666e-07,0.6751087307929993,0.8333185911178589,-0.022174984216690063,0.6261919140815735,0.755814790725708,-0.027915341779589653,0.603774905204773,0.6797042489051819,-0.032779112458229065,0.5875192880630493,0.6174752116203308,-0.03624936193227768,0.661611795425415,0.6471610069274902,0.0029639247804880142,0.6411375999450684,0.5660160183906555,-0.01048697903752327,0.6282006502151489,0.5179003477096558,-0.025704318657517433,0.6173390746116638,0.4702965021133423,-0.03801705688238144,0.7019540667533875,0.6325687766075134,6.994977593421936e-05,0.6894559860229492,0.5388615727424622,-0.009847349487245083,0.6799359321594238,0.4795230031013489,-0.02398660220205784,0.6704041957855225,0.4251130223274231,-0.035492364317178726,0.7403885126113892,0.6391243934631348,-0.008139776065945625,0.735140860080719,0.5524466633796692,-0.02237604558467865,0.7281646728515625,0.4970373511314392,-0.03412275016307831,0.719756007194519,0.4460122585296631,-0.042714592069387436,0.7790576815605164,0.6607866883277893,-0.019195567816495895,0.789560854434967,0.5881717205047607,-0.032835703343153,0.7955799698829651,0.5391720533370972,-0.03933090344071388,0.7994632720947266,0.49126046895980835,-0.04395388066768646,0.16448527574539185,0.7740106582641602,3.80762372742538e-07,0.23743101954460144,0.7597962021827698,-0.024963974952697754,0.2956504225730896,0.7092708349227905,-0.03099064715206623,0.3260011076927185,0.6430153250694275,-0.036047209054231644,0.3505411148071289,0.5915735960006714,-0.04086759313941002,0.2856978178024292,0.593268632888794,-0.005965873133391142,0.31924423575401306,0.5200238823890686,-0.021576739847660065,0.3365691006183624,0.4719635248184204,-0.036787644028663635,0.35077720880508423,0.42817187309265137,-0.04818747565150261,0.25116419792175293,0.5706542730331421,-0.006578550208359957,0.2821558117866516,0.4851838946342468,-0.020228421315550804,0.3013809621334076,0.42819708585739136,-0.035587914288043976,0.3181033134460449,0.37756091356277466,-0.0472092479467392,0.21284431219100952,0.5656164288520813,-0.011797253042459488,0.2364019900560379,0.4831126034259796,-0.02818283997476101,0.25311216711997986,0.43171995878219604,-0.04170359671115875,0.26967665553092957,0.38690513372421265,-0.05091729387640953,0.16833974421024323,0.5733606815338135,-0.019717862829566002,0.1771620362997055,0.5090430974960327,-0.03717644512653351,0.1859220266342163,0.46744292974472046,-0.04638483375310898,0.19569382071495056,0.42750489711761475,-0.05192122980952263
